A: OMIT SAME DATA (Auto, fan, etc)
B: Passenger Temp
C: Passenger Temp
D: Driver Temp?
E: Driver Temp?
F: Fan Speed
G: Fan Speed
H: Mode
I: OMIT SAME DATA (Auto, fan, etc)
J: Checksum

B   C   D   E   F   H  
038 063 220 248 251 128
038 063 220 248 251 128
038 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
109 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
061 063 220 248 251 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
016 054 220 248 155 128
=== DRIVER ===
016 054 191 173 223 128
016 054 191 173 223 128
016 054 191 173 223 128
016 054 191 173 223 128
016 054 191 173 223 128
016 054 191 173 223 128
016 054 239 173 223 128
016 054 239 173 223 128
016 054 239 173 223 128
016 054 239 173 223 128
016 054 239 173 223 128
016 054 239 173 223 128
016 054 191 253 151 128
016 054 191 253 151 128
016 054 191 253 151 128
016 054 191 253 151 128
016 054 191 253 151 128
016 054 191 253 151 128
016 054 134 253 151 128
016 054 134 253 151 128
016 054 134 253 151 128
016 054 134 253 151 128
016 054 155 253 223 128
016 054 155 253 223 128
016 054 155 253 223 128
016 054 155 253 223 128
016 054 155 253 223 128
016 054 143 253 223 128
016 054 143 253 223 128
016 054 143 253 223 128
016 054 143 253 223 128
016 054 143 253 223 128
016 054 230 253 223 128
016 054 230 253 223 128
016 054 230 253 223 128
016 054 230 253 223 128
016 054 230 253 223 128
016 054 173 253 223 128
016 054 173 253 223 128
016 054 173 253 223 128
016 054 173 253 223 128
016 054 173 253 223 128
016 054 253 253 223 128
016 054 253 253 223 128
016 054 253 253 223 128
016 054 253 253 223 128
016 054 253 253 223 128
016 054 253 253 223 128
016 054 199 253 151 128
016 054 199 253 151 128
016 054 199 253 151 128
016 054 199 253 151 128
016 054 199 253 151 128
016 054 199 253 151 128
016 054 191 253 223 128
016 054 191 253 223 128
016 054 191 253 223 128
016 054 191 253 223 128
016 054 191 253 223 128
016 054 191 253 223 128
016 054 239 253 223 128
016 054 239 253 223 128
016 054 239 253 223 128
016 054 239 253 223 128
016 054 239 253 223 128
016 054 239 253 223 128
016 054 191 199 211 128
016 054 191 199 211 128
016 054 191 199 211 128
016 054 191 199 211 128
016 054 191 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 134 199 211 128
016 054 155 199 155 128
016 054 155 199 155 128
016 054 155 199 155 128
016 054 155 199 155 128
016 054 155 199 155 128
016 054 155 199 155 128
016 054 143 199 155 128
016 054 143 199 155 128
016 054 143 199 155 128
016 054 143 199 155 128
016 054 143 199 155 128
016 054 143 199 155 128
016 054 230 199 155 128
016 054 230 199 155 128
016 054 230 199 155 128
016 054 230 199 155 128
016 054 230 199 155 128
016 054 230 199 155 128
016 054 173 199 155 128
016 054 173 199 155 128
016 054 173 199 155 128
016 054 173 199 155 128
016 054 173 199 155 128
016 054 253 199 155 128
016 054 253 199 155 128
016 054 253 199 155 128
016 054 253 199 155 128
016 054 253 199 155 128
016 054 253 199 155 128
016 054 199 199 211 128
016 054 199 199 211 128
016 054 199 199 211 128
016 054 199 199 211 128
016 054 199 199 211 128
016 054 191 199 155 128
016 054 191 199 155 128
016 054 191 199 155 128
016 054 191 199 155 128
016 054 191 199 155 128
016 054 239 199 155 128
016 054 239 199 155 128
016 054 239 199 155 128
016 054 239 199 155 128
016 054 239 199 155 128
016 054 239 199 155 128
016 054 191 191 151 128
016 054 191 191 151 128
016 054 191 191 151 128
016 054 191 191 151 128
016 054 191 191 151 128
016 054 191 191 151 128
016 054 134 191 151 128
016 054 134 191 151 128
016 054 134 191 151 128
016 054 134 191 151 128
016 054 134 191 151 128
016 054 155 191 223 128
016 054 155 191 223 128
016 054 155 191 223 128
016 054 155 191 223 128
016 054 155 191 223 128
016 054 143 191 223 128
016 054 143 191 223 128
016 054 143 191 223 128
016 054 143 191 223 128
016 054 143 191 223 128
016 054 230 191 223 128
016 054 230 191 223 128
016 054 230 191 223 128
016 054 230 191 223 128
016 054 230 191 223 128
016 054 173 191 223 128
016 054 173 191 223 128
016 054 173 191 223 128
016 054 173 191 223 128
016 054 173 191 223 128
016 054 253 191 223 128
016 054 253 191 223 128
016 054 253 191 223 128
016 054 253 191 223 128
016 054 253 191 223 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
016 054 208 182 151 128
=== MODES ===
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 248
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 176
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 244
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
016 054 208 182 151 164
